Provinsi,Kabupaten_kota,Total_semua
Prov. Banten,Kab. Lebak,8
Prov. Banten,Kab. Pandeglang,8
Prov. Banten,Kab. Serang,12
Prov. Banten,Kab. Tangerang,28
Prov. Banten,Kota Cilegon,6
Prov. Banten,Kota Serang,13
Prov. Banten,Kota Tangerang,24
Prov. Banten,Kota Tangerang Selatan,16
Prov. D.I. Yogyakarta,Kab. Bantul,22
Prov. D.I. Yogyakarta,Kab. GunungKidul,2
Prov. D.I. Yogyakarta,Kab. Kulon Progo,1
Prov. D.I. Yogyakarta,Kab. Sleman,38
Prov. D.I. Yogyakarta,Kota Yogyakarta,29
Prov. D.K.I. Jakarta,Kota Jakarta Barat,35
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,54
Prov. D.K.I. Jakarta,Kota Jakarta Selatan,78
Prov. D.K.I. Jakarta,Kota Jakarta Timur,78
Prov. D.K.I. Jakarta,Kota Jakarta Utara,14
Prov. Jawa Barat,Kab. Bandung,17
Prov. Jawa Barat,Kab. Bandung Barat,8
Prov. Jawa Barat,Kab. Bekasi,26
Prov. Jawa Barat,Kab. Bogor,48
Prov. Jawa Barat,Kab. Ciamis,9
Prov. Jawa Barat,Kab. Cianjur,18
Prov. Jawa Barat,Kab. Cirebon,23
Prov. Jawa Barat,Kab. Garut,19
Prov. Jawa Barat,Kab. Indramayu,16
Prov. Jawa Barat,Kab. Karawang,12
Prov. Jawa Barat,Kab. Kuningan,8
Prov. Jawa Barat,Kab. Majalengka,6
Prov. Jawa Barat,Kab. Pangandaran,1
Prov. Jawa Barat,Kab. Purwakarta,12
Prov. Jawa Barat,Kab. Subang,11
Prov. Jawa Barat,Kab. Sukabumi,13
Prov. Jawa Barat,Kab. Sumedang,8
Prov. Jawa Barat,Kab. Tasikmalaya,14
Prov. Jawa Barat,Kota Bandung,78
Prov. Jawa Barat,Kota Banjar,6
Prov. Jawa Barat,Kota Bekasi,30
Prov. Jawa Barat,Kota Bogor,14
Prov. Jawa Barat,Kota Cimahi,9
Prov. Jawa Barat,Kota Cirebon,10
Prov. Jawa Barat,Kota Depok,25
Prov. Jawa Barat,Kota Sukabumi,9
Prov. Jawa Barat,Kota Tasikmalaya,15
Prov. Jawa Tengah,Kab. Banjarnegara,4
Prov. Jawa Tengah,Kab. Banyumas,18
Prov. Jawa Tengah,Kab. Blora,5
Prov. Jawa Tengah,Kab. Boyolali,3
Prov. Jawa Tengah,Kab. Brebes,8
Prov. Jawa Tengah,Kab. Cilacap,12
Prov. Jawa Tengah,Kab. Demak,2
Prov. Jawa Tengah,Kab. Grobogan,4
Prov. Jawa Tengah,Kab. Jepara,2
Prov. Jawa Tengah,Kab. Karanganyar,8
Prov. Jawa Tengah,Kab. Kebumen,6
Prov. Jawa Tengah,Kab. Kendal,4
Prov. Jawa Tengah,Kab. Klaten,5
Prov. Jawa Tengah,Kab. Kudus,4
Prov. Jawa Tengah,Kab. Magelang,5
Prov. Jawa Tengah,Kab. Pati,9
Prov. Jawa Tengah,Kab. Pekalongan,2
Prov. Jawa Tengah,Kab. Pemalang,3
Prov. Jawa Tengah,Kab. Purbalingga,2
Prov. Jawa Tengah,Kab. Purworejo,7
Prov. Jawa Tengah,Kab. Rembang,4
Prov. Jawa Tengah,Kab. Semarang,11
Prov. Jawa Tengah,Kab. Sragen,2
Prov. Jawa Tengah,Kab. Sukoharjo,12
Prov. Jawa Tengah,Kab. Tegal,8
Prov. Jawa Tengah,Kab. Temanggung,2
Prov. Jawa Tengah,Kab. Wonogiri,4
Prov. Jawa Tengah,Kab. Wonosobo,2
Prov. Jawa Tengah,Kota Magelang,2
Prov. Jawa Tengah,Kota Pekalongan,5
Prov. Jawa Tengah,Kota Salatiga,9
Prov. Jawa Tengah,Kota Semarang,47
Prov. Jawa Tengah,Kota Surakarta,28
Prov. Jawa Tengah,Kota Tegal,3
Prov. Jawa Timur,Kab. Bangkalan,11
Prov. Jawa Timur,Kab. Banyuwangi,14
Prov. Jawa Timur,Kab. Blitar,4
Prov. Jawa Timur,Kab. Bojonegoro,13
Prov. Jawa Timur,Kab. Bondowoso,9
Prov. Jawa Timur,Kab. Gresik,15
Prov. Jawa Timur,Kab. Jember,20
Prov. Jawa Timur,Kab. Jombang,15
Prov. Jawa Timur,Kab. Kediri,10
Prov. Jawa Timur,Kab. Lamongan,12
Prov. Jawa Timur,Kab. Lumajang,11
Prov. Jawa Timur,Kab. Madiun,1
Prov. Jawa Timur,Kab. Magetan,2
Prov. Jawa Timur,Kab. Malang,15
Prov. Jawa Timur,Kab. Mojokerto,14
Prov. Jawa Timur,Kab. Nganjuk,11
Prov. Jawa Timur,Kab. Ngawi,7
Prov. Jawa Timur,Kab. Pacitan,4
Prov. Jawa Timur,Kab. Pamekasan,13
Prov. Jawa Timur,Kab. Pasuruan,15
Prov. Jawa Timur,Kab. Ponorogo,7
Prov. Jawa Timur,Kab. Probolinggo,9
Prov. Jawa Timur,Kab. Sampang,10
Prov. Jawa Timur,Kab. Sidoarjo,11
Prov. Jawa Timur,Kab. Situbondo,8
Prov. Jawa Timur,Kab. Sumenep,13
Prov. Jawa Timur,Kab. Trenggalek,3
Prov. Jawa Timur,Kab. Tuban,8
Prov. Jawa Timur,Kab. Tulungagung,11
Prov. Jawa Timur,Kota Batu,5
Prov. Jawa Timur,Kota Blitar,4
Prov. Jawa Timur,Kota Kediri,16
Prov. Jawa Timur,Kota Madiun,7
Prov. Jawa Timur,Kota Malang,51
Prov. Jawa Timur,Kota Mojokerto,4
Prov. Jawa Timur,Kota Pasuruan,3
Prov. Jawa Timur,Kota Probolinggo,1
Prov. Jawa Timur,Kota Surabaya,85
